N,n_steps,n_analyze,flip_perc
10,10000,5000,0.1

Temp,E_mean,E_std,M_mean,M_std
1.6,-1.926145229045809,0.07981376923999146,0.9789717943588719,0.025758022046361958
1.7000000000000002,-1.8845369073814762,0.1070369654395701,-0.9658091618323664,0.0377632837713811
1.8000000000000003,-1.8536827365473096,0.1218790837931023,0.9527225445089017,0.05207832240174029
1.9000000000000004,-1.8064052810562115,0.13890096931256893,-0.9394398879775956,0.05279624821928789
2.0000000000000004,-1.7376155231046209,0.16920532348416373,-0.9112822564512902,0.08053690698000902
2.1000000000000005,-1.7009121824364875,0.15932936094351743,-0.8994558911782354,0.07113196156434995
2.2000000000000006,-1.4715103020604121,0.25098378038329866,-0.7595719143828766,0.19165104435905547
2.3000000000000007,-1.3747909581916382,0.28897884535874774,-0.16352470494098817,0.7047320827104924
2.400000000000001,-1.375347069413883,0.3090611886513405,-0.5416283256651331,0.5000799186838353
2.500000000000001,-1.2732826565313062,0.253732777515522,0.6700940188037607,0.20375896226957352
2.600000000000001,-1.0275455091018204,0.2390406341279422,-0.3780476095219044,0.3317598557001097
2.700000000000001,-0.9170394078815762,0.2018392044678672,0.13434686937387474,0.3432447696616529
2.800000000000001,-0.9261492298459691,0.24109479437532857,0.09850770154030807,0.4561118515177139
2.9000000000000012,-0.8303100620124025,0.2220907669006631,-0.16562512502500498,0.311142485408381
3.0000000000000013,-0.7874374874974994,0.17795344427302978,-0.02887377475495101,0.3043357946833714
3.1000000000000014,-0.7232846569313862,0.1774239810184785,0.00857371474294859,0.2811302775650752
3.2000000000000015,-0.7332706541308261,0.18397536342636145,-0.06948189637927586,0.29593963518910343
3.3000000000000016,-0.6831966393278656,0.16699389489707317,0.02623324664932987,0.2487895770678766
3.4000000000000017,-0.6433566713342669,0.1781162544267659,0.031802360472094414,0.26723528039060707
3.5000000000000018,-0.6042488497699541,0.1657258093809055,0.012986597319463899,0.2280453089914254
