N,n_steps,n_analyze,flip_perc
10,10000,5000,0.1

Temp,R_mean_d=1,R_std_d=1,R_mean_d=2,R_std_d=2
1.6,1.0,0.0,-6.388833322220011e-05,0.0008842867717992628
1.7000000000000002,1.0,0.0,1.9710608788423776e-05,0.0014060826839734084
1.8000000000000003,1.0,0.0,0.00048182080860615636,0.0026345653315193447
1.9000000000000004,1.0,0.0,0.00036068547042741997,0.0024394738239463527
2.0000000000000004,1.0,0.0,0.0009764441777244423,0.003527168554294942
2.1000000000000005,1.0,0.0,0.0010984330199373166,0.0033753021781868326
2.2000000000000006,1.0,0.0,0.00613437354137494,0.008801645209213645
2.3000000000000007,1.0,0.0,0.007866995621346445,0.009396044165459944
2.400000000000001,1.0,0.0,0.006835811606765781,0.008495042709671746
2.500000000000001,1.0,0.0,0.006268258096063651,0.007308064702536833
2.600000000000001,1.0,0.0,0.01214824298192971,0.008150216323052703
2.700000000000001,1.0,0.0,0.01584473339112269,0.007898525639806088
2.800000000000001,1.0,0.0,0.011540450312284692,0.007370784620114847
2.9000000000000012,1.0,0.0,0.013862905914516218,0.008055341790905897
3.0000000000000013,1.0,0.0,0.014084763619390475,0.007406133971843637
3.1000000000000014,1.0,0.0,0.013031219577248811,0.007441382808117282
3.2000000000000015,1.0,0.0,0.012416269920650798,0.0074667704985106375
3.3000000000000016,1.0,0.0,0.012619101598097381,0.007077521420936635
3.4000000000000017,1.0,0.0,0.010668613722744542,0.007192961336459025
3.5000000000000018,1.0,0.0,0.010480158253873006,0.007097449176980816
