N,n_steps,n_analyze,flip_perc
10,9000,5000,0.1

Temp,R_mean_d=1,R_std_d=1,R_mean_d=2,R_std_d=2
2.0599999999999996,1.0,0.0,0.0018379409215176507,0.00473037724270196
2.0699999999999994,1.0,0.0,0.0009262119090484735,0.002911577114714277
2.079999999999999,1.0,0.0,0.0013791913938343266,0.0035572044998806638
2.089999999999999,1.0,0.0,0.0013888555488875721,0.00372605713997545
2.0999999999999988,1.0,0.0,0.0036186526194128326,0.0075104315099510845
2.1099999999999985,1.0,0.0,0.002269965104131947,0.004448321905150655
2.1199999999999983,1.0,0.0,0.002023835878286806,0.004672394251912559
2.129999999999998,1.0,0.0,0.003804449778844673,0.007548617692826508
2.139999999999998,1.0,0.0,0.0014782867684648012,0.0042801346491046595
2.1499999999999977,1.0,0.0,0.003260358738414372,0.005993544934537807
2.1599999999999975,1.0,0.0,0.0025208508368340554,0.0051861347446822996
2.1699999999999973,1.0,0.0,0.003451988175412885,0.006390969284564362
2.179999999999997,1.0,0.0,0.0023011713453801987,0.0042892500381532415
2.189999999999997,1.0,0.0,0.002089093374230404,0.0043335311641306395
2.1999999999999966,1.0,0.0,0.0026397190549221237,0.004555358633444183
2.2099999999999964,1.0,0.0,0.006420697472827873,0.008545698512887006
2.219999999999996,1.0,0.0,0.0031509501900380344,0.005277116322621969
2.229999999999996,1.0,0.0,0.008236553977462107,0.009488088579283521
2.2399999999999958,1.0,0.0,0.005627898913115952,0.007711895357380148
2.2499999999999956,1.0,0.0,0.004622853459580806,0.006859321931852718
2.2599999999999953,1.0,0.0,0.006980729479229127,0.008221503607481763
2.269999999999995,1.0,0.0,0.008223129070258498,0.00871334836698898
2.279999999999995,1.0,0.0,0.005630912849236499,0.007691600824928516
2.2899999999999947,1.0,0.0,0.005565930963970544,0.006594532484180215
2.2999999999999945,1.0,0.0,0.005201333600053342,0.007776156675103179
2.3099999999999943,1.0,0.0,0.009464497343913162,0.009101173886450709
2.319999999999994,1.0,0.0,0.007042252895023398,0.008776772013420748
2.329999999999994,1.0,0.0,0.009048671956613536,0.009054144329469105
2.3399999999999936,1.0,0.0,0.012920015114133886,0.010483584436309763
2.3499999999999934,1.0,0.0,0.008876175235046987,0.00843036422985313
2.359999999999993,1.0,0.0,0.007932928807983805,0.009110737312389438
2.369999999999993,1.0,0.0,0.007379964881865253,0.008644554426195534
2.379999999999993,1.0,0.0,0.0085748527483274,0.00825011554464866
2.3899999999999926,1.0,0.0,0.010451885932742105,0.009424390307037869
2.3999999999999924,1.0,0.0,0.008944988997799566,0.009397919425902145
2.409999999999992,1.0,0.0,0.007700446756017895,0.008155981816346441
2.419999999999992,1.0,0.0,0.009491729457002503,0.008611274190610125
2.4299999999999917,1.0,0.0,0.007925745149029802,0.008463084353270742
2.4399999999999915,1.0,0.0,0.008624533795648025,0.008724670629667282
2.4499999999999913,1.0,0.0,0.008602573848102946,0.00856600993247992
2.459999999999991,1.0,0.0,0.006708257206996955,0.008052074455534282
